"game_id","internal_name","provider.internal_name"
"130300137","Elvis Frog TRUEWAYS™","Bgaming"
"130300138","Soccermania","Bgaming"
"130300139","Burning Chilli X","Bgaming"
"130300140","Gangsterz","Bgaming"
"130300141","Book of Cats Megaways","Bgaming"
"130300142","Gift Rush","Bgaming"
"130300143","Potion Spells","Bgaming"
"130300144","Domnitor's Treasure","Bgaming"
"130300145","Miss Cherry Fruits Jackpot party","Bgaming"
"130300146","Platinum Lightning Deluxe","Bgaming"
"130300147","Sweet Rush Megaways","Bgaming"
"130300148","Lucky Oak","Bgaming"
"130300149","Book of Kemet","Bgaming"
"130300150","Easter Plinko","Bgaming"
"130300151","Easter Heist","Bgaming"
"130300152","Alien Fruits","Bgaming"
"130300153","All Lucky Clover 20","Bgaming"
"130300154","All Lucky Clover 40","Bgaming"
"130300155","All Lucky Clover 100","Bgaming"
"130300156","Royal High-Road","Bgaming"
"130300157","Lucky Crew","Bgaming"
"130300158","Savage Buffalo Spirit","Bgaming"
"130300159","Limbo XY","Bgaming"
"130300160","Gemhalla","Bgaming"
"130300161","Wild Chicago","Bgaming"
"130300162","Beast Band","Bgaming"
"130300163","Dice Bonanza","Bgaming"
"130300164","Luck & Magic","Bgaming"
"130300165","Dice Million","Bgaming"
"130300166","Savage Buffalo Spirit Megaways","Bgaming"
"130300167","Wild Cash Dice","Bgaming"
"130300168","Maneki 88 Fortunes","Bgaming"
"130300169","Bone Bonanza","Bgaming"
"130300170","Mice & Magic Wonder Spin","Bgaming"
"130300171","Monster Hunt","Bgaming"
"130300172","Merge Up™","Bgaming"
"130300173","Scratch Alpaca Gold","Bgaming"
"130300174","Scratch Alpaca Bronze","Bgaming"
"130300175","Scratch Alpaca Silver","Bgaming"
"130300176","Mummy’s Gold","Bgaming"
"130300177","Book of Panda Megaways™","Bgaming"
"130300178","Tramp Day","Bgaming"
"130300179","Hottest 666","Bgaming"
"130300180","Gemza","Bgaming"
"130300181","Slot Machine","Bgaming"
"130300182","Gift X","Bgaming"
"130300183","Ice Scratch Bronze","Bgaming"
"130300184","Capymania Orange","Bgaming"
"130300185","Capymania Green","Bgaming"
"130300186","Capymania Yellow","Bgaming"
"130300187","Wild Tiger","Bgaming"
"130300189"," God of Wealth Hold And Win","Bgaming"
"130300191","Wild Heart","Bgaming"
"130300192","Aztec Clusters ","Bgaming"
"130300193","Lucky 8 Merge Up","Bgaming"
"130300194","Pop Zen","Bgaming"
"130300195","Dragon's Crash","Bgaming"
"130300196","Diamond of Jungle","Bgaming"
"130300197","3 Kings Scratch","Bgaming"
"130300198","Lucky Dragon MultiDice X","Bgaming"
"130300202","OOF The Goldmine Planet","Bgaming"
"130300203","Luck & Magic Scratch","Bgaming"
"130300204","Chicken Rush","Bgaming"
"130300205","Panda Luck","Bgaming"
"130300209","Gold of Minos","Bgaming"
"130300210","Fishing Club","Bgaming"
"130300211","Dragon Age Hold & Win","Bgaming"
"130300212","Alien Fruits 2","Bgaming"
"130300213","Aviamasters","Bgaming"
"130300214","Grand Patron","Bgaming"
"130300215","Gold Magnate","Bgaming"
"130300216","Secret Bar Multidice X","Bgaming"
"130300217","Wild West Trueways™","Bgaming"
"130300218","Street Power","Bgaming"
"130300219","Catch the Gold Hold and Win","Bgaming"
"130300220","Kraken’s Hunger","Bgaming"
"130300221","Train to Rio Grande","Bgaming"
"130300222","Mine Gems","Bgaming"
"130300223","Robospin","Bgaming"
"130300224","Royal Fruits MultiLines","Bgaming"
"130300225","TOP EAGLE","Bgaming"
"130300226","Voodoo People","Bgaming"
"130300227","Fortuna Trueways","Bgaming"
"130300228","Aztec's Claw Wild Dice","Bgaming"
"130300230","Rotating Element","Bgaming"
"130300231","Carnival Bonanza","Bgaming"
"130300232","Forgotten","Bgaming"
"130300233","Snoop Dogg Dollars","Bgaming"
"130300234","Dice Clash","Bgaming"
"130300235","Catdiana","Bgaming"
"130300236","Golden Pride","Bgaming"
"130300237","Wild Moon Thieves","Bgaming"
"130300238","Tile Master","Bgaming"
"130300239","Lucky Ducky","Bgaming"
"130300240","Plinko 2","Bgaming"
"130300241","Sakura Riches 60","Bgaming"
"130300242","Haunted reels","Bgaming"
"130300244","Disco Party","Bgaming"
"130300245","Hot Chilli Bells","Bgaming"
"130300246","Winter Fishing Club","Bgaming"
"130300247","Joker’s Million","Bgaming"
"130300248","All-Star Fruits","Bgaming"
"130300249","Wild Card Gang","Bgaming"
"130300250","Jungle Queen","Bgaming"
"130300251","Alice WonderLuck","Bgaming"
"130300252","Treasure of Anubis","Bgaming"
"130300253","Fortune Bells","Bgaming"
"130300254","Wild Clusters","Bgaming"
"130300255","Zeus Goes Wild","Bgaming"
"130300256","Arrow Slot","Bgaming"
"130300257","Doomsday Saloon","Bgaming"
"130300258","Retro Trader","Bgaming"
"130300259","Lucky Lu","Bgaming"
"130300260","Olympus TRUEWAYS™","Bgaming"
"130300261","Sugar Mix","Bgaming"
"130300262","Blackbeard’s Bounty","Bgaming"
"130300263","Balloon Mania","Bgaming"
"130300264","Loki Loot","Bgaming"
"130300265","Golden Pinata Hold and Win","Bgaming"
"130300267","Mystery Garden","Bgaming"
"130300268","Football Plinko","Bgaming"
"130300269","Multihand Blackjack Pro 2","Bgaming"
"130300270","Penalty Duel","Bgaming"
"130300271","Dragon Queen MEGAWAYS™","Bgaming"
"130300272","Tramp Day TRUEWAYS™","Bgaming"
"130300273","Lady Lucky Gun","Bgaming"
"130300274","Cat's Soup","Bgaming"
"130300275","Backyard Grill","Bgaming"
"130300276","Infinity Pull","Bgaming"
"130300277","Big Tuna Bonanza","Bgaming"
"130300278","Grand Mustang","Bgaming"
"130300279","big bucks saloon","Bgaming"
"130300280","Joker vs Joker","Bgaming"
"130300281","Crystal Clusters","Bgaming"
"130300282","Classic Multihand Blackjack","Bgaming"
"130300283","Fortune Spin","Bgaming"
"130300284","Bonanza Trillion","Bgaming"
"137000001","Blackjack Silver B","Evolution"
"137000003","Blackjack Silver 4","Evolution"
"137000009","Blackjack VIP A","Evolution"
"137000010","Blackjack VIP B","Evolution"
"137000011","Blackjack VIP C","Evolution"
"137000012","Blackjack VIP D","Evolution"
"137000013","Blackjack VIP E","Evolution"
"137000014","Blackjack VIP G","Evolution"
"137000015","Blackjack VIP H","Evolution"
"137000016","Blackjack VIP I","Evolution"
"137000017","Blackjack VIP L","Evolution"
"137000018","Blackjack VIP M","Evolution"
"137000019","Blackjack VIP O","Evolution"
"137000021","Blackjack VIP R","Evolution"
"137000022","Blackjack VIP S","Evolution"
"137000023","Blackjack VIP T","Evolution"
"137000027","Blackjack Party","Evolution"
"137000034","Blackjack A","Evolution"
"137000035","Blackjack B","Evolution"
"137000036","Blackjack C","Evolution"
"137000037","Speed Blackjack D","Evolution"
"137000038","Speed Blackjack E","Evolution"
"137000039","Blackjack VIP X","Evolution"
"137000044","Baccarat A","Evolution"
"137000045","Baccarat B","Evolution"
"137000046","Baccarat C","Evolution"
"137000047","Baccarat Control Squeeze","Evolution"
"137000048","Baccarat Squeeze","Evolution"
"137000049","No Commission Speed Baccarat","Evolution"
"137000050","No Commission Baccarat","Evolution"
"137000051","American Roulette","Evolution"
"137000054","Bucharest Auto-Roulette","Evolution"
"137000069","Salon Privé Roulette","Evolution"
"137000070","Speed Auto Roulette","Evolution"
"137000072","Svensk Roulette","Evolution"
"137000074","Casino Malta Roulette","Evolution"
"137000075","First Person Roulette","Evolution"
"137000077","Immersive Roulette","Evolution"
"137000078","VIP Roulette","Evolution"
"137000079","French Roulette Gold","Evolution"
"137000080","Auto-Roulette VIP","Evolution"
"137000091","La Partage Francophone","Evolution"
"137000097","Türkçe Rulet 2","Evolution"
"137000102","Türkçe Futbol Stüdyosu","Evolution"
"137000107","Speed Baccarat A","Evolution"
"137000108","Speed Baccarat B","Evolution"
"137000109","Speed Baccarat C","Evolution"
"137000110","Speed Baccarat D","Evolution"
"137000111","Speed Baccarat E","Evolution"
"137000112","Speed Baccarat F","Evolution"
"137000113","Speed Baccarat G","Evolution"
"137000114","Speed Baccarat H","Evolution"
"137000115","Speed Baccarat I","Evolution"
"137000117","Salon Privé Baccarat A","Evolution"
"137000118","Auto-Roulette","Evolution"
"137000121","Speed VIP Blackjack D","Evolution"
"137000124","Speed Baccarat J","Evolution"
"137000184","Blackjack VIP Q","Evolution"
"137000196","Blackjack Diamond VIP","Evolution"
"137000197","Blackjack Platinum VIP","Evolution"
"137000198","Blackjack VIP Z","Evolution"
"137000199","Salon Privé Blackjack F","Evolution"
"137000200","Salon Privé Blackjack E","Evolution"
"137000201","Salon Privé Blackjack D","Evolution"
"137000204","Blackjack Classic 7","Evolution"
"137000205","Blackjack Classic 9","Evolution"
"137000210","Blackjack Classic 17","Evolution"
"137000211","Blackjack Classic 18","Evolution"
"137000213","Blackjack Classic 20","Evolution"
"137000215","Blackjack Classic 25","Evolution"
"137000216","Blackjack Classic 26","Evolution"
"137000219","Blackjack Classic 29","Evolution"
"137000220","Blackjack Classic 30","Evolution"
"137000225","Blackjack Classic 35","Evolution"
"137000233","Blackjack Classic 43","Evolution"
"137000234","Blackjack Classic 44","Evolution"
"137000235","Blackjack Classic 45","Evolution"
"137000237","Blackjack Classic 47","Evolution"
"137000240","Blackjack Classic 50","Evolution"
"137000241","Blackjack Classic 51","Evolution"
"137000242","Blackjack Classic 52","Evolution"
"137000243","Blackjack Classic 53","Evolution"
"137000244","Blackjack Classic 54","Evolution"
"137000245","Blackjack Classic 55","Evolution"
"137000246","Blackjack Classic 56","Evolution"
"137000247","Blackjack Classic 57","Evolution"
"137000248","Blackjack Classic 58","Evolution"
"137000249","Blackjack Classic 59","Evolution"
"137000250","Blackjack Classic 60","Evolution"
"137000251","Blackjack Classic 61","Evolution"
"137000252","Blackjack Classic 62","Evolution"
"137000253","Blackjack Classic 63","Evolution"
"137000254","Blackjack Classic 64","Evolution"
"137000255","Blackjack Classic 65","Evolution"
"137000256","Blackjack Classic 66","Evolution"
"137000257","Blackjack Classic 67","Evolution"
"137000259","Blackjack Classic 69","Evolution"
"137000261","Blackjack Classic 8","Evolution"
"137000263","Blackjack Classic 70","Evolution"
"137000264","Blackjack Classic 71","Evolution"
"137000265","Blackjack Classic 72","Evolution"
"137000266","Classic Speed Blackjack 1","Evolution"
"137000267","Classic Speed Blackjack 2","Evolution"
"137000268","Classic Speed Blackjack 3","Evolution"
"137000269","Classic Speed Blackjack 4","Evolution"
"137000270","Classic Speed Blackjack 5","Evolution"
"137000271","Classic Speed Blackjack 6","Evolution"
"137000272","Classic Speed Blackjack 7","Evolution"
"137000273","Classic Speed Blackjack 8","Evolution"
"137000274","Classic Speed Blackjack 9","Evolution"
"137000275","Classic Speed Blackjack 10","Evolution"
"137000276","Classic Speed Blackjack 11","Evolution"
"137000277","Classic Speed Blackjack 12","Evolution"
"137000278","Classic Speed Blackjack 13","Evolution"
"137000279","Classic Speed Blackjack 14","Evolution"
"137000280","Classic Speed Blackjack 15","Evolution"
"137000281","Classic Speed Blackjack 16","Evolution"
"137000282","Classic Speed Blackjack 17","Evolution"
"137000283","Classic Speed Blackjack 18","Evolution"
"137000284","Classic Speed Blackjack 19","Evolution"
"137000287","Blackjack VIP Gamma","Evolution"
"137000288","Blackjack VIP Beta","Evolution"
"137000289","Blackjack VIP Alpha","Evolution"
"137000297","Lobby Poker","Evolution"
"137000298","Lobby Top Games","Evolution"
"137000300","Lobby Baccarat Sic bo","Evolution"
"137000301","Lobby Roulette","Evolution"
"137000302","Salon Privé Baccarat C","Evolution"
"137000303","Salon Privé Baccarat B","Evolution"
"137000307","Speed Baccarat K","Evolution"
"137000308","Speed Baccarat L","Evolution"
"137000309","Speed Baccarat M","Evolution"
"137000310","Speed Baccarat N","Evolution"
"137000311","Speed Baccarat O","Evolution"
"137000313","Speed Baccarat Q","Evolution"
"137000333","Cash Or Crash","Evolution"
"137000335","First Person Golden Wealth Baccarat","Evolution"
"137000342","Bac Bo","Evolution"
"137000357","Blackjack Fortune VIP","Evolution"
"137000358","Blackjack Grand VIP","Evolution"
"137000359","Blackjack VIP 1","Evolution"
"137000360","Blackjack VIP 10","Evolution"
"137000361","Blackjack VIP 11","Evolution"
"137000362","Blackjack VIP 12","Evolution"
"137000363","Blackjack VIP 13","Evolution"
"137000364","Blackjack VIP 14","Evolution"
"137000365","Blackjack VIP 15","Evolution"
"137000366","Blackjack VIP 16","Evolution"
"137000367","Blackjack VIP 17","Evolution"
"137000368","Blackjack VIP 18","Evolution"
"137000369","Blackjack VIP 19","Evolution"
"137000370","Blackjack VIP 2","Evolution"
"137000371","Blackjack VIP 3","Evolution"
"137000372","Blackjack VIP 4","Evolution"
"137000373","Blackjack VIP 5","Evolution"
"137000374","Blackjack VIP 6","Evolution"
"137000375","Blackjack VIP 7","Evolution"
"137000376","Blackjack VIP 8","Evolution"
"137000377","Blackjack VIP 9","Evolution"
"137000378","Blackjack VIP F","Evolution"
"137000379","Blackjack VIP J","Evolution"
"137000381","Blackjack VIP K","Evolution"
"137000382","Blackjack VIP N","Evolution"
"137000383","Blackjack VIP U","Evolution"
"137000384","Blackjack VIP V","Evolution"
"137000387","Classic Speed Blackjack 22","Evolution"
"137000388","Classic Speed Blackjack 23","Evolution"
"137000389","Classic Speed Blackjack 24","Evolution"
"137000390","Classic Speed Blackjack 25","Evolution"
"137000391","Classic Speed Blackjack 26","Evolution"
"137000392","Classic Speed Blackjack 27","Evolution"
"137000393","Classic Speed Blackjack 28","Evolution"
"137000394","Classic Speed Blackjack 29","Evolution"
"137000395","Classic Speed Blackjack 30","Evolution"
"137000396","Classic Speed Blackjack 31","Evolution"
"137000398","Classic Speed Blackjack 33","Evolution"
"137000399","Classic Speed Blackjack 34","Evolution"
"137000400","Classic Speed Blackjack 35","Evolution"
"137000402","Classic Speed Blackjack 37","Evolution"
"137000403","Classic Speed Blackjack 38","Evolution"
"137000404","Classic Speed Blackjack 39","Evolution"
"137000405","Classic Speed Blackjack 40","Evolution"
"137000406","Classic Speed Blackjack 41","Evolution"
"137000407","Classic Speed Blackjack 42","Evolution"
"137000408","Classic Speed Blackjack 43","Evolution"
"137000409","Classic Speed Blackjack 44","Evolution"
"137000410","Classic Speed Blackjack 45","Evolution"
"137000411","Classic Speed Blackjack 46","Evolution"
"137000412","Classic Speed Blackjack 47","Evolution"
"137000413","Classic Speed Blackjack 48","Evolution"
"137000414","Classic Speed Blackjack 49","Evolution"
"137000415","Classic Speed Blackjack 50","Evolution"
"137000416","First Person American Roulette","Evolution"
"137000417","First Person Baccarat","Evolution"
"137000420","FIRST PERSON LOBBY","Evolution"
"137000421","GAME SHOWS LOBBY","Evolution"
"137000423","No Commission Speed Baccarat A","Evolution"
"137000424","No Commission Speed Baccarat B","Evolution"
"137000425","No Commission Speed Baccarat C","Evolution"
"137000427","Salon Privé Baccarat D","Evolution"
"137000428","Salon Privé Baccarat E","Evolution"
"137000429","Salon Privé Baccarat F","Evolution"
"137000431","Salon Privé Baccarat G","Evolution"
"137000432","Salon Privé Blackjack G","Evolution"
"137000433","Speed VIP Blackjack A","Evolution"
"137000434","Speed VIP Blackjack B","Evolution"
"137000435","Speed VIP Blackjack C","Evolution"
"137000436","Speed VIP Blackjack E","Evolution"
"137000437","Speed VIP Blackjack F","Evolution"
"137000438","Speed VIP Blackjack G","Evolution"
"137000439","Speed Baccarat R","Evolution"
"137000441","Speed Baccarat S","Evolution"
"137000443","Bucharest Blackjack A","Evolution"
"137000444","Bucharest Blackjack B","Evolution"
"137000445","First Person Top Card","Evolution"
"137000446","Speed VIP Blackjack H","Evolution"
"137000447","Speed VIP Blackjack I","Evolution"
"137000448","Speed VIP Blackjack J","Evolution"
"137000450","Fan Tan","Evolution"
"137000453","Türkçe Rulet","Evolution"
"137000456","Speed Baccarat T","Evolution"
"137000457","Speed Baccarat U","Evolution"
"137000458","Speed Baccarat V","Evolution"
"137000459","Speed Baccarat W","Evolution"
"137000460","Speed Baccarat X","Evolution"
"137000543","Dead or Alive: Saloon","Evolution"
"137000948","Auto Roulette","Evolution"
"137001038","Stock Market","Evolution"
"137001039","Lightning Dragon Tiger","Evolution"
"137001081","Golden Wealth Baccarat","Evolution"
"137001082","Bet with Streamers 1","Evolution"
"137001083","Bet with Streamers 2","Evolution"
"137001084","Bet with Streamers 3","Evolution"
"137001085","Blackjack Silver A","Evolution"
"137001086","Blackjack Silver C","Evolution"
"137001087","Blackjack Silver E","Evolution"
"137001088","Blackjack Silver F","Evolution"
"137001089","Blackjack Silver G","Evolution"
"137001090","Blackjack Classic 77","Evolution"
"137001091","Blackjack Classic 78","Evolution"
"137001092","Blackjack Classic 80","Evolution"
"137001093","Blackjack Classic 79","Evolution"
"137001094","Blackjack Classic 81","Evolution"
"137001095","Blackjack Classic 73","Evolution"
"137001096","Blackjack Classic 74","Evolution"
"137001097","Blackjack Classic 75","Evolution"
"137001098","Blackjack Classic 76","Evolution"
"137001099","Blackjack VIP 20","Evolution"
"137001100","Blackjack VIP 21","Evolution"
"137001101","Blackjack VIP 22","Evolution"
"137001102","Classic Speed Blackjack 57","Evolution"
"137001103","Classic Speed Blackjack 58","Evolution"
"137001104","Classic Speed Blackjack 51","Evolution"
"137001105","Classic Speed Blackjack 52","Evolution"
"137001106","Classic Speed Blackjack 53","Evolution"
"137001107","Classic Speed Blackjack 54","Evolution"
"137001108","Classic Speed Blackjack 55","Evolution"
"137001109","Classic Speed Blackjack 56","Evolution"
"137001110","Classic Speed Blackjack 59","Evolution"
"137001111","Classic Speed Blackjack 60","Evolution"
"137001112","Classic Speed Blackjack 61","Evolution"
"137001113","Classic Speed Blackjack 62","Evolution"
"137001114","Classic Speed Blackjack 63","Evolution"
"137001115","Classic Speed Blackjack 65","Evolution"
"137001116","Classic Speed Blackjack 64","Evolution"
"137001117","Classic Speed Blackjack 66","Evolution"
"137001119","Venezia La Partage","Evolution"
"137001120","Speed Baccarat P","Evolution"
"137001121","Blackjack Classic 88","Evolution"
"137001129","Imperial Quest","Evolution"
"137001130","Blackjack VIP 28","Evolution"
"137001131","Blackjack VIP 29","Evolution"
"137001132","Salon Priv?© Baccarat L","Evolution"
"137001133","Salon Priv?© Baccarat K","Evolution"
"137001134","Blackjack Cl??ssico em Portugu??s 4","Evolution"
"137001135","Blackjack Cl??ssico em Portugu??s 5","Evolution"
"137001136","Blackjack Classic 82","Evolution"
"137001137","Blackjack Classic 83","Evolution"
"137001138","Blackjack Classic 84","Evolution"
"137001139","Blackjack Classic 85","Evolution"
"137001140","Blackjack Classic 86","Evolution"
"137001141","Blackjack Classic 87","Evolution"
"137001145","Blackjack Clasico en Espa?±ol 1","Evolution"
"137001146","Blackjack Clasico en Espa?±ol 2","Evolution"
"137001147","Blackjack Clasico en Espa?±ol 3","Evolution"
"137001150","VIP Blackjack en Espa?±ol","Evolution"
"137001151","Blackjack VIP 25","Evolution"
"137001152","Blackjack VIP 26","Evolution"
"137001153","Blackjack VIP 27","Evolution"
"137001154","Speed VIP Blackjack L","Evolution"
"137001155","Speed VIP Blackjack K","Evolution"
"137001156","Speed VIP Blackjack M","Evolution"
"137001157","Salon Priv?© Baccarat H","Evolution"
"137001158","Salon Priv?© Baccarat I","Evolution"
"137001159","Salon Priv?© Baccarat J","Evolution"
"137001160","Salon Priv?© Blackjack H","Evolution"
"137001161","Salon Priv?© Blackjack I","Evolution"
"137001162","Salon Priv?© Blackjack J","Evolution"
"137001171","Blackjack Cl??ssico em Portugu??s 1","Evolution"
"137001172","Blackjack Cl??ssico em Portugu??s 2","Evolution"
"137001173","Klasik Blackjack","Evolution"
"137001174","Klasik Blackjack 2","Evolution"
"137001175","Klasik Blackjack 3","Evolution"
"137001176","Klasik Blackjack 4","Evolution"
"137001177","Klasik Blackjack 5","Evolution"
"137001178","Klasik Blackjack 8","Evolution"
"137001179","Klasik Blackjack 9","Evolution"
"137001180","Klasik Speed Blackjack 1","Evolution"
"137001181","Klasik Speed Blackjack 2","Evolution"
"137001183","VIP Blackjack em Portugu??s","Evolution"
"137001191","First Person Craps","Evolution"
"137001192","Peek Baccarat","Evolution"
"137001193","First Person Lightning Baccarat","Evolution"
"137001195","Football Studio Roulette","Evolution"
"137001196","Football Studio Dice","Evolution"
"137001197","Speed Baccarat Z","Evolution"
"137001198","Speed Baccarat 1","Evolution"
"137001199","Speed Baccarat 2","Evolution"
"137001200","Speed Baccarat 3","Evolution"
"137001201","Klasik Blackjack 12","Evolution"
"137001202","Klasik Blackjack 10","Evolution"
"137001203","Klasik Blackjack 11","Evolution"
"137001204","Salon Priv?© Blackjack L","Evolution"
"137001205","Salon Priv?© Blackjack M","Evolution"
"137001206","Salon Priv?© Blackjack N","Evolution"
"137001207","Salon Priv?© Blackjack K","Evolution"
"137001208","Blackjack Cl??ssico em Portugu??s 3","Evolution"
"137001210","Blackjack Classic 89","Evolution"
"137001211","Blackjack Classic 90","Evolution"
"137001212","Klasik Speed Blackjack 3","Evolution"
"137001213","Speed VIP Blackjack N","Evolution"
"137001214","Speed VIP Blackjack O","Evolution"
"137001215","Speed VIP Blackjack P","Evolution"
"137001216","Speed VIP Blackjack Q","Evolution"
"137001217","Speed VIP Blackjack R","Evolution"
"137001218","Blackjack VIP 31","Evolution"
"137001219","Blackjack VIP 32","Evolution"
"137001220","Blackjack VIP 30","Evolution"
"137001221","Speed Baccarat 4","Evolution"
"137001222","Speed Baccarat 5","Evolution"
"137001223","Speed Baccarat 6","Evolution"
"137001224","Speed Baccarat 7","Evolution"
"137001225","Speed Baccarat 8","Evolution"
"137001226","Speed Baccarat 9","Evolution"
"137001227","Speed Baccarat 10","Evolution"
"137001228","Speed Baccarat 11","Evolution"
"137001229","Speed Baccarat 12","Evolution"
"137001230","Classic Speed Blackjack 67","Evolution"
"137001231","Classic Speed Blackjack 68","Evolution"
"137001232","Classic Speed Blackjack 69","Evolution"
"137001233","Classic Speed Blackjack 70","Evolution"
"137001234","Classic Speed Blackjack 71","Evolution"
"137001235","Classic Speed Blackjack 72","Evolution"
"137001236","Classic Speed Blackjack 73","Evolution"
"137001237","Classic Speed Blackjack 74","Evolution"
"137001238","Classic Speed Blackjack 75","Evolution"
"137001246","Video Poker","Evolution"
"137001248","Blackjack Cl??ssico em Portugu??s 6","Evolution"
"137001249","Gold Vault Roulette","Evolution"
"137001250","Gonzo's Treasure Map","Evolution"
"137001252","Evo Speed Blackjack 1","Evolution"
"137001253","Evo Speed Blackjack 2","Evolution"
"137001254","Evo Speed Blackjack 3","Evolution"
"137001255","Evo Speed Blackjack 4","Evolution"
"137001256","Evo Speed Blackjack 5","Evolution"
"137001257","Evo Speed Blackjack 6","Evolution"
"137001258","Evo Speed Blackjack 7","Evolution"
"137001259","Prosperity Tree Baccarat","Evolution"
"137001260","First Person Prosperity Tree Baccarat","Evolution"
"137001264","First Person XXXtreme Lightning Baccarat","Evolution"
"137001265","Salon Priv?© Baccarat M","Evolution"
"137001266","Salon Priv?© Baccarat N","Evolution"
"137001267","Free Bet Blackjack Cl??ssico em Portugu??s 1","Evolution"
"137001268","Free Bet Blackjack Cl??ssico em Portugu??s 2","Evolution"
"137001270","Blackjack Clasico en Espa?±ol 4","Evolution"
"137001271","Blackjack Clasico en Espa?±ol 5","Evolution"
"137001272","Classic Speed Blackjack 83","Evolution"
"137001273","Classic Speed Blackjack 84","Evolution"
"137001274","Classic Speed Blackjack 85","Evolution"
"137001275","Classic Speed Blackjack 76","Evolution"
"137001276","Classic Speed Blackjack 77","Evolution"
"137001277","Classic Speed Blackjack 78","Evolution"
"137001278","Classic Speed Blackjack 79","Evolution"
"137001279","Classic Speed Blackjack 80","Evolution"
"137001280","Classic Speed Blackjack 81","Evolution"
"137001281","Classic Speed Blackjack 82","Evolution"
"137001282","Classic Speed Blackjack 86","Evolution"
"137001283","Classic Speed Blackjack 87","Evolution"
"137001284","Classic Speed Blackjack 88","Evolution"
"137001285","Classic Speed Blackjack 89","Evolution"
"137001286","Classic Speed Blackjack 90","Evolution"
"137001287","Classic Speed Blackjack 91","Evolution"
"137001288","Evo Speed Blackjack 8","Evolution"
"137001289","Evo Speed Blackjack 9","Evolution"
"137001290","Evo Speed Blackjack 10","Evolution"
"137001291","Evo Speed Blackjack 11","Evolution"
"137001292","First Person Video Poker","Evolution"
"137001293","Blackjack Clasico en Espa?±ol 6","Evolution"
"137001294","Blackjack Clasico en Espa?±ol 7","Evolution"
"137001295","Blackjack Clasico en Espa?±ol 8","Evolution"
"137001296","Blackjack Clasico en Espa?±ol 9","Evolution"
"137001298","Blackjack Clasico en Espa?±ol 11","Evolution"
"137001299","Blackjack Cl??ssico em Portugu??s 7","Evolution"
"137001300","Blackjack Cl??ssico em Portugu??s 8","Evolution"
"137001301","Blackjack VIP 33","Evolution"
"137001302","Blackjack VIP 34","Evolution"
"137001303","Blackjack VIP 35","Evolution"
"137001304","Blackjack VIP 39","Evolution"
"137001305","Blackjack VIP 40","Evolution"
"137001306","Blackjack VIP 38","Evolution"
"137001307","Blackjack VIP 36","Evolution"
"137001308","Blackjack VIP 37","Evolution"
"137001309","Blackjack VIP 41","Evolution"
"137001310","Blackjack VIP 42","Evolution"
"137001311","Blackjack VIP 50","Evolution"
